tabu_obj,tabu_time,genetic_obj,genetic_time,cplex_obj,cplex_time
66.400000,0.000196,66.400000,0.303948,66.400000,0.055309,
72.000000,0.000162,66.400000,0.304297,66.400000,0.053940,
68.200000,0.000117,66.400000,0.303163,66.400000,0.056490,
66.400000,0.000089,66.400000,0.305159,66.400000,0.050347,
66.400000,0.000102,66.400000,0.307112,66.400000,0.050006,
66.400000,0.000145,66.400000,0.307141,66.400000,0.052615,
66.400000,0.000163,66.400000,0.303749,66.400000,0.056527,
66.400000,0.000130,66.400000,0.303438,66.400000,0.049501,
66.400000,0.000114,66.400000,0.310948,66.400000,0.049999,
66.400000,0.000168,66.400000,0.307113,66.400000,0.067102,
68.200000,0.000145,66.400000,0.301612,66.400000,0.064142,
66.400000,0.000138,66.400000,0.303358,66.400000,0.050921,
68.200000,0.000076,66.400000,0.307109,66.400000,0.051488,
66.400000,0.000106,66.400000,0.315948,66.400000,0.051885,
66.400000,0.000073,66.400000,0.305877,66.400000,0.069215,
66.400000,0.000094,66.400000,0.312192,66.400000,0.074287,
72.000000,0.000100,66.400000,0.313488,66.400000,0.050626,
68.200000,0.000135,66.400000,0.310182,66.400000,0.071210,
66.400000,0.000149,66.400000,0.342491,66.400000,0.160086,
68.200000,0.000109,66.400000,0.329615,66.400000,0.052216,
66.400000,0.000086,66.400000,0.313306,66.400000,0.055486,
68.200000,0.000144,66.400000,0.309027,66.400000,0.054957,
72.000000,0.000098,66.400000,0.312065,66.400000,0.050140,
66.400000,0.000115,66.400000,0.306160,66.400000,0.053233,
68.200000,0.000164,66.400000,0.305144,66.400000,0.057583,
68.200000,0.000129,66.400000,0.305174,66.400000,0.050249,
66.400000,0.000107,66.400000,0.304800,66.400000,0.050431,
68.200000,0.000161,66.400000,0.310212,66.400000,0.056494,
68.200000,0.000077,66.400000,0.306595,66.400000,0.057254,
66.400000,0.000095,66.400000,0.305580,66.400000,0.051158,
68.200000,0.000106,66.400000,0.314305,66.400000,0.050650,
68.200000,0.000089,66.400000,0.312148,66.400000,0.054559,
