,value,mte,mov,me,score
0,10.0,5.8872629000000005,630.02,0.03493172435694305,0.829426564981839
1,15.0,5.9440361,632.45,0.4207684979358671,0.28562752500919136
2,20.0,5.685628200000001,630.46,0.10479517307082914,0.6266345797338668
3,25.0,5.3497140000000005,630.49,0.10955859002858917,0.6304744399445211
4,30.0,5.9763116,630.7099999999999,0.14449031438551416,0.5366191188965747
5,35.0,6.2231048,630.8599999999999,0.1683073991743324,0.48842563518162213
6,40.0,5.8100985,630.17,0.058748809145761284,0.7455251523297233
