,value,mte,mov,me,score
0,1.0,5.5996404,630.76,0.1524293426484656,0.5395054176719339
1,5.0,5.4179347,630.18,0.06033661479834797,0.7536363865687645
2,10.0,5.3451241,631.06,0.2000635122261021,0.4832401910321201
3,15.0,5.5756144,629.9,0.015878056525884844,0.9186702001171014
4,20.0,5.1972847,633.19,0.5382661162273897,0.26332959600051037
5,25.0,6.4200702000000005,630.22,0.06668783740871273,0.7002111708366886
