size,solutions
41,646.501461:2.028721 547.618211:2.348119 649.928919:2.522517 801.549715:3.209298 677.544349:2.355897 573.768199:2.523137 536.395738:2.530626 717.835564:2.589771 678.065025:2.547139 297.760493:2.016584 
42,142.495342:2.136905 629.040338:2.549515 372.492412:2.488110 719.572500:2.484747 562.846146:2.649247 527.129163:2.656718 467.965112:2.480897 432.948175:2.661882 566.565590:2.567971 519.265496:3.064194 
43,608.334534:2.687604 810.155627:3.376628 543.503049:2.636663 233.526611:2.607799 490.416876:2.804137 291.280504:2.246061 474.981313:2.434151 815.858636:2.418562 650.527619:2.619298 509.862821:2.448071 
44,299.162676:2.693632 639.599203:2.734307 415.669400:2.348652 836.608836:3.058655 792.783672:2.667069 610.120315:3.212162 469.519157:2.742925 396.355642:2.957802 532.829750:2.963657 371.629380:2.895948 
45,26.367947:2.580018 555.624660:2.771502 607.711417:3.122692 600.437230:3.972529 581.189831:3.112414 539.993265:2.699781 448.627618:2.901419 625.100127:2.709449 774.360270:3.133756 475.363254:2.490162 
46,485.424475:3.056457 464.672128:3.002913 590.326756:3.021219 355.446031:2.796996 682.402238:3.242515 224.640317:3.448350 10.673113:2.593990 875.178459:3.461996 585.657507:3.237311 713.407933:3.256971 
47,463.217248:2.954294 656.513362:3.393745 714.081979:3.162035 452.047138:3.662267 534.382287:3.415610 606.242700:3.879083 515.265941:2.957501 553.167555:3.865703 560.997938:3.475423 636.689844:2.990895 
48,396.026131:3.588454 602.805121:3.144384 656.331415:3.668870 295.599876:3.178767 447.258388:3.321927 616.599482:4.050948 760.249552:3.355571 697.048427:3.586191 396.238565:3.361062 809.642521:3.599336 
49,660.219141:3.752345 664.387344:5.023909 542.243340:4.490089 735.598884:3.733068 697.971196:4.000576 285.689111:2.995991 585.857302:3.242416 754.545805:3.489407 350.912539:3.002198 590.848752:3.369520 
50,279.558556:3.531834 655.772909:4.022774 232.952827:3.610590 407.448237:4.279540 557.539446:4.964287 514.665327:3.880512 616.604726:3.844737 552.483918:3.940006 428.646957:3.575183 752.934086:4.069926 
51,384.618664:4.279717 732.361706:4.830019 603.172536:4.303098 505.470995:3.431941 625.951939:3.980516 412.023320:4.563423 767.023968:4.837466 859.117102:4.387722 642.937809:4.271331 544.471782:3.757805 
52,590.271502:3.941251 268.043816:4.447837 467.029700:4.000328 539.108834:4.712428 528.594490:5.955190 916.879538:4.489581 611.607573:4.366255 412.421781:4.954220 655.355301:4.456729 522.145247:4.582116 
53,386.574153:4.528389 174.868885:4.220867 438.533879:3.802079 478.760636:4.588275 465.013953:4.885004 359.854856:3.802936 539.570391:4.660902 369.100672:3.990083 656.462981:5.055920 483.245486:3.987002 
54,572.293572:4.799903 646.751521:4.152971 836.993550:6.112707 472.863783:4.512144 603.283356:4.545320 724.155102:5.655374 632.972450:5.180296 292.487244:4.140186 595.531187:4.792918 631.664328:5.132657 
55,556.313587:6.391590 630.196352:4.678571 591.889989:4.360286 505.021366:5.209073 778.633064:9.771522 676.753233:5.773717 355.218115:5.106813 659.061318:6.356567 971.058847:5.698227 574.098007:5.212528 
56,491.309941:5.247939 518.757338:5.623430 480.344863:4.889562 895.680028:6.346371 548.517293:5.197352 819.724736:5.257677 670.463853:6.388867 417.067649:5.575845 631.163880:6.270251 282.502428:4.881210 
57,576.845513:4.801756 136.618473:5.104039 492.685289:5.934471 703.859058:5.694411 702.299572:5.206859 553.827546:5.149208 314.000234:4.443204 507.426616:4.758972 403.338048:6.550279 656.277779:4.393500 
58,529.947847:4.573995 571.755633:5.449711 589.332879:6.542191 710.861254:5.815856 890.244658:5.351640 399.565267:6.236206 242.806432:5.334083 547.452627:5.709012 720.923618:5.833516 636.207642:5.715748 
59,500.183141:5.197768 835.036125:6.999791 341.776119:5.266525 481.989682:6.027483 774.558138:6.410998 449.604900:5.253201 593.343778:5.584617 575.999886:7.134698 510.002338:5.167951 491.447342:5.614288 
60,643.680018:6.787405 782.876538:7.144315 529.639627:6.357086 645.609905:6.309035 547.664273:8.419468 752.599794:8.322259 581.535561:6.657532 634.322724:6.776389 693.670564:6.771993 258.818523:5.879112 
