size,mean_obj,std_obj,min_obj,max_obj,mean_time,std_time,min_time,max_time
10,417.55226400000004,5.684341886080802e-14,417.552264,417.552264,0.32942970000000005,0.006731312710757094,0.320087,0.342998
15,387.254319,0.0,387.254319,387.254319,0.41414850000000003,0.010143881084180744,0.399167,0.430701
20,569.70992,0.0,569.70992,569.70992,0.6171937,0.05048484567085452,0.533271,0.691792
25,554.679819,0.0,554.679819,554.679819,0.791353,0.050489489613185806,0.728083,0.872265
30,489.527711,0.0,489.527711,489.527711,1.1958008,0.07374234347754346,1.065925,1.268016
35,515.8300040000001,1.1368683772161603e-13,515.830004,515.830004,1.6944969000000003,0.17661369861449025,1.536518,2.128224
40,571.006916,0.0,571.006916,571.006916,2.4543764,0.22736492192957114,2.045779,2.931971
45,439.87045,0.0,439.87045,439.87045,2.6893257999999998,0.1178252314640629,2.503911,2.897684
50,365.7500329999999,5.684341886080802e-14,365.750033,365.750033,3.548504700000001,0.23738632970541923,3.257918,3.917835
55,1012.7295844,2.2031058574135405,1010.930756,1015.427827,5.9589894999999995,0.5106521046345056,5.112829,6.717817
60,563.6605095000001,0.061384499999996935,563.640048,563.844663,6.5767679999999995,0.4331740560753842,5.633118,7.023871
65,493.0811839,0.021383700000001227,493.074056,493.145335,7.7435860000000005,0.6824034097712288,6.825923,9.458528
70,441.383653,0.0,441.383653,441.383653,9.7322144,0.7959360363065866,8.628856,11.389396
