size,mean_obj,std_obj,min_obj,max_obj,mean_time,std_time,min_time,max_time
10,417.55226400000004,5.684341886080802e-14,417.552264,417.552264,0.00010270000000000002,2.508405868275706e-05,6.8e-05,0.00015
15,393.67752320000005,5.532164395223569,387.254319,405.637241,0.0001296,2.2046314884805576e-05,0.000113,0.000187
20,573.1394435,5.389018230700287,569.70992,588.326479,0.0006989,0.00033912518337628656,0.000177,0.001149
25,556.683648,2.4758889282069343,554.679819,561.14189,0.0009748,0.00021858078598083593,0.000653,0.001186
30,489.527711,0.0,489.527711,489.527711,0.0009913,0.00020552082619530314,0.000762,0.001315
35,516.0303984,0.6011831999999799,515.830004,517.833948,0.0013510999999999998,2.7573356705341475e-05,0.00131,0.001416
40,574.9273183,2.535566966947909,571.006916,577.59184,0.0009417,6.15565593580408e-05,0.000901,0.001098
45,439.87045,0.0,439.87045,439.87045,0.0013834,0.00022164800923987565,0.001006,0.001661
50,369.3312359,9.745224778687751,365.750033,398.554532,0.0013802999999999999,0.0002495183560381881,0.00116,0.001759
55,1032.3822301000002,7.002934491121991,1017.770015,1041.04671,0.0017755,0.0002694469335509313,0.001312,0.001996
60,564.4489756,1.23711410329771,563.640048,566.491442,0.0015723999999999998,0.00011644329091879877,0.001467,0.00177
65,493.6048525,0.6499889506687428,493.074056,494.976495,0.0019755000000000003,0.00023531946370838089,0.001691,0.002387
70,442.6896779,2.325999865495376,441.383653,447.770132,0.0027044,0.0002786683333283493,0.002252,0.00327
